Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,label
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8571428571428572,1.0,0.6666666666666666,1.0,0.0,0.0,0.0505667436997909,0.0294117647058823,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0535714285714286,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3136898866512601,0.6470588235294117,5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5357142857142858,1.0,0.3333333333333333,1.0,0.0,0.0,0.1015736766809728,0.1176470588235294,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4642857142857142,1.0,0.6666666666666666,0.0,0.0,0.0,0.4199405744470122,0.5588235294117647,7
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071428571428572,1.0,0.6666666666666666,0.0,0.0,0.0,0.2542093100033014,0.2941176470588235,2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.3333333333333333,0.0,0.0,0.0,0.4844833278309673,0.4705882352941176,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6071428571428572,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.1422361615494662,0.2941176470588235,7
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,1.0,0.5,0.0,0.3333333333333333,0.3685484758446132,0.4705882352941176,2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,0.3333333333333333,1.0,1.0,0.0,0.1545614614284142,0.1176470588235294,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607142857142857,1.0,1.0,1.0,0.0,0.3333333333333333,0.2742379223065918,0.3823529411764705,2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.6666666666666666,0.5,0.0,0.3333333333333333,0.0574997248816991,0.1176470588235294,6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0892857142857143,0.0,0.6666666666666666,0.5,0.0,0.0,0.2232860129855838,0.6470588235294117,4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0535714285714286,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.072466160448993,0.1176470588235294,5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428572,1.0,0.3333333333333333,1.0,0.0,0.0,0.0522174535050071,0.2941176470588235,2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607142857142857,0.0,0.6666666666666666,0.5,0.0,0.0,0.0634422801804776,0.1617647058823529,6
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2321428571428571,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0567844172994387,0.2941176470588235,5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6071428571428572,1.0,0.6666666666666666,1.0,0.0,0.0,0.1196214372180037,0.2941176470588235,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,1.0,0.6666666666666666,1.0,0.0,0.0,0.4303950698800484,0.3823529411764705,4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4464285714285714,0.0,1.0,0.0,0.0,0.3333333333333333,0.6783867062837019,0.2941176470588235,6
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2142857142857142,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.1749752393529217,0.2941176470588235,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178571428571428,1.0,0.6666666666666666,1.0,0.0,0.0,0.10366457576758,0.0735294117647058,2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4464285714285714,1.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.1318917134367778,0.0294117647058823,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178571428571428,1.0,0.3333333333333333,0.5,0.0,0.0,0.1095521074061846,0.088235294117647,2
